310;128325891RR0001;FONDS HUMANITAIRE DE LA FRATERNITE DES POLICIERS ET POLICIERES DE MONTREAL
311;128626413RR0001;FONDATION HÔPITAL DE BAIE-SAINT-PAUL
312;129180378RR0001;FONDATION DE L'ORCHESTRE SYMPHONIQUE DE QUEBEC
313;129199659RR0001;FONDATION DES POMPIERS DU QUEBEC POUR LES GRANDS BRULES
314;129471546RR0001;CITADEL FOUNDATION / FONDATION CITADEL
315;129472296RR0001;LA FONDATION JEAN MARC PAQUETTE
316;129892675RR0001;ROASTERS FOUNDATION/FONDATION ROASTERS
317;130121932RR0001;Fondation de santé et de services sociaux Lévis-Lotbinière
318;130189509RR0001;FATHER DOWD FOUNDATION-LA FONDATION FATHER DOWD
319;130387277RR0001;CENTRAIDE DUPLESSIS INC
